	Distance	Contrast
0	6.218993633383889	0.0001848004665920866
1	7.218993633383889	0.0001270208999583315
2	8.218993633383889	0.00011312387463455824
3	9.218993633383889	0.00011050295615244236
4	10.218993633383889	0.00011795127581011118
5	11.218993633383889	0.00014156438437572648
6	12.218993633383889	0.00019562414417691643
7	13.218993633383889	0.00034251418063707434
8	14.218993633383889	0.0007900970574262137
9	15.218993633383889	0.003773380936416945
10	16.21899363338389	0.010489313137542504
11	17.21899363338389	0.001204240492704012
12	18.21899363338389	0.0006225967664564175
13	19.21899363338389	0.0004991737031010855
14	20.21899363338389	0.000522264996675714
15	21.21899363338389	0.0005679400777036842
16	22.21899363338389	0.0006178910295040307
17	23.21899363338389	0.0006996267389352328
18	24.21899363338389	0.0007838840111437491
19	25.21899363338389	0.0007938017738809899
20	26.21899363338389	0.0008149936185792183
21	27.21899363338389	0.0008207813915384073
22	28.21899363338389	0.0009018630243277502
23	29.21899363338389	0.0010547630281845155
24	30.21899363338389	0.0013431643477799429
25	31.21899363338389	0.0017503160747747008
26	32.21899363338389	0.002355152589974149
27	33.21899363338389	0.0035346453461580535
28	34.21899363338389	0.0069993937441105766
29	35.21899363338389	0.015266146060521008
30	36.21899363338389	0.009631041932178655
31	37.21899363338389	0.0036311484920386046
32	38.21899363338389	0.0017589965025233505
33	39.21899363338389	0.0010704999946289932
34	40.21899363338389	0.0008250275379805559
35	41.21899363338389	0.0007373176087568198
36	42.21899363338389	0.0007231548076828879
37	43.21899363338389	0.0007560884632955516
38	44.21899363338389	0.0008182559695657277
39	45.21899363338389	0.0009410494489477295
40	46.21899363338389	0.0010072887657034714
41	47.21899363338389	0.0009155540229965827
42	48.21899363338389	0.0007805369335975353
43	49.21899363338389	0.0006606943028588219
44	50.21899363338389	0.0005788269413485859
45	51.21899363338389	0.0005252796593138523
46	52.21899363338389	0.000490654094627732
47	53.21899363338389	0.000445193962040423
48	54.21899363338389	0.0003943639797274436
49	55.21899363338389	0.00034029655040120337
50	56.21899363338389	0.0002970862001460891
51	57.21899363338389	0.00026299307864329814
52	58.21899363338389	0.0002500003139968313
53	59.21899363338389	0.0002586563632431463
54	60.21899363338389	0.0003005217782703576
55	61.21899363338389	0.0003589845020406358
56	62.21899363338389	0.00042694327009848453
57	63.21899363338389	0.0004436071955745361
58	64.21899363338389	0.0004074807370494392
59	65.21899363338389	0.0003195328521760303
60	66.21899363338389	0.00024386324182273497
61	67.21899363338389	0.00019532760022164392
62	68.21899363338389	0.00016213909104017456
63	69.21899363338389	0.00013867807556998765
64	70.21899363338389	0.00012481191291893653
65	71.21899363338389	0.00011559006093110698
66	72.21899363338389	0.00011142515273543187
67	73.21899363338389	0.00010815072934961445
68	74.21899363338389	0.0001044494700593104
69	75.21899363338389	9.911921685791475e-05
70	76.21899363338389	9.179638656732694e-05
71	77.21899363338389	8.270414604596624e-05
72	78.21899363338389	7.450353722919512e-05
73	79.21899363338389	6.75968547939046e-05
74	80.21899363338389	6.176760030552852e-05
75	81.21899363338389	5.7093850530968216e-05
76	82.21899363338389	5.4715793667067865e-05
77	83.21899363338389	5.335301863687791e-05
78	84.21899363338389	5.228369184896135e-05
79	85.21899363338389	5.284577228827754e-05
80	86.21899363338389	5.321690349573652e-05
81	87.21899363338389	5.292740284068597e-05
82	88.21899363338389	5.3087766421796066e-05
83	89.21899363338389	5.2690341683921796e-05
84	90.21899363338389	5.1316835162443815e-05
85	91.21899363338389	5.016093394646974e-05
86	92.21899363338389	4.989014835280621e-05
87	93.21899363338389	4.753326323433521e-05
88	94.21899363338389	4.3297323667861795e-05
89	95.21899363338389	3.915222057642983e-05
90	96.21899363338389	3.4776543210062523e-05
91	97.21899363338389	3.14832494745311e-05
92	98.21899363338389	2.9023949323640805e-05
93	99.21899363338389	2.7193529143641005e-05
94	100.21899363338389	2.5597710733404942e-05
95	101.21899363338389	2.4525567608818657e-05
96	102.21899363338389	2.4037112133948943e-05
97	103.21899363338389	2.3607210296939906e-05
98	104.21899363338389	2.327026254836461e-05
99	105.21899363338389	2.296283553577647e-05
100	106.21899363338389	2.255205015612502e-05
101	107.21899363338389	2.2341913598024843e-05
102	108.21899363338389	2.2083531665440672e-05
103	109.21899363338389	2.1891186773814985e-05
104	110.21899363338389	2.153983273232395e-05
105	111.21899363338389	2.1330075090781995e-05
106	112.21899363338389	2.1163666985245118e-05
107	113.21899363338389	2.0898462896437963e-05
108	114.21899363338389	2.0740080779009293e-05
109	115.21899363338389	2.0342000063388086e-05
110	116.21899363338389	1.9672728171170304e-05
111	117.21899363338389	1.895995076919926e-05
112	118.21899363338389	1.8073164616656564e-05
113	119.21899363338389	1.727787654995352e-05
114	120.21899363338389	1.658806375204166e-05
115	121.21899363338389	1.616279369452382e-05
116	122.21899363338389	1.5698613456825852e-05
117	123.21899363338389	1.5573490510856614e-05
118	124.21899363338389	1.5410623046122334e-05
119	125.21899363338389	1.5098931822976863e-05
120	126.21899363338389	1.4740360669556435e-05
121	127.21899363338389	1.4353894757424405e-05
122	128.2189936333839	1.4128173468088227e-05
123	129.2189936333839	1.4174454956200783e-05
124	130.2189936333839	1.425706195582822e-05
125	131.2189936333839	1.4365143731802641e-05
126	132.2189936333839	1.4444943932145215e-05
127	133.2189936333839	1.4369402292553701e-05
128	134.2189936333839	1.4224082601617428e-05
129	135.2189936333839	1.3875516000196935e-05
130	136.2189936333839	1.3600688321567169e-05
131	137.2189936333839	1.320863967124164e-05
132	138.2189936333839	1.2693584881773764e-05
133	139.2189936333839	1.2341646838118698e-05
